hr,steps,temp,calories
107,54,91.4,3
101,0,90.5,2.3
94,0,90.5,1.9
93,0,90.5,2
94,0,89.6,2.1
94,0,89.6,2
104,51,89.6,2.8
100,0,89.6,2.5
95,0,89.6,2
96,0,88.7,2.1
97,0,88.7,2.2
96,0,88.7,2.1
95,0,88.7,2
95,0,88.7,2.1
94,0,89.6,2
94,0,89.6,2
93,0,89.6,1.9
96,0,89.6,2.2
98,0,89.6,2.3
100,0,89.6,2.4
97,0,89.6,2.1
95,0,89.6,2.1
97,0,89.6,2.1
96,0,89.6,2.1
95,0,89.6,2
97,0,89.6,2.2
95,0,89.6,2
90,0,89.6,1.7
95,0,90.5,2.1
87,0,89.6,1.6
95,0,90.5,2
96,0,90.5,2
92,0,90.5,1.9
94,0,90.5,2
101,38,90.5,2.6
98,0,90.5,2.3
93,0,89.6,2
98,0,89.6,2.3
95,0,89.6,2.1
95,0,89.6,2.1
98,0,89.6,2.3
92,0,89.6,1.9
96,0,89.6,2.1
95,0,89.6,2.2
100,0,89.6,2.5
96,0,89.6,2.2
96,0,89.6,2.3
97,0,89.6,2.3
97,0,88.7,2.3
94,0,88.7,2
95,43,89.6,2.3
103,0,88.7,2.7
102,0,88.7,2.6
99,0,88.7,2.3
91,13,88.7,2
96,0,88.7,2.2
99,0,88.7,2.3
95,0,88.7,2
97,0,89.6,2.3
93,0,89.6,1.8
95,0,89.6,2.1
95,0,89.6,2.1
86,0,89.6,1.5
92,0,89.6,1.8
92,0,90.5,1.8
89,0,90.5,1.8
85,0,90.5,1.5
91,0,90.5,1.8
96,0,90.5,2
95,0,90.5,2.1
91,0,90.5,1.7
96,0,90.5,2.1
96,0,90.5,2.1
94,0,90.5,2
94,0,90.5,1.9
94,0,90.5,2
89,0,90.5,1.8
92,0,90.5,1.8
97,0,91.4,2.3
95,0,91.4,2.1
95,0,90.5,2.1
94,0,90.5,2.1
98,0,90.5,2.4
96,0,90.5,2.1
96,0,90.5,2.1
96,0,90.5,2.2
97,0,90.5,2.2
98,0,90.5,2.3
102,0,90.5,2.6
92,0,90.5,1.9
91,0,90.5,1.8
93,0,90.5,2
92,0,90.5,1.8
91,0,90.5,1.8
94,0,90.5,2
89,0,90.5,1.7
91,0,90.5,1.8
90,0,90.5,1.7
95,0,90.5,2.1
92,0,90.5,1.9
98,0,90.5,2.1
98,0,90.5,2.3
98,0,90.5,2.2
100,0,90.5,2.5
97,0,90.5,2.1
99,0,90.5,2.4
95,0,90.5,2.1
96,0,90.5,2.1
94,0,90.5,1.9
94,0,90.5,1.9
94,0,90.5,2
93,0,90.5,1.8
96,0,90.5,2.1
95,0,90.5,2.1
94,10,90.5,2
96,0,90.5,2.1
96,0,91.4,2.1
97,0,90.5,2.2
91,0,90.5,1.8
94,0,90.5,1.9
96,0,90.5,2.1
96,0,90.5,2.1
99,0,90.5,2.4
95,0,90.5,2.1
95,0,90.5,2.2
