hr,steps,gsr,calories,temp
102,0,5.70E-05,2.5,87.8
103,0,5.67E-05,2.5,87.8
103,0,5.70E-05,2.6,87.8
102,0,5.67E-05,2.4,87.8
103,0,5.67E-05,2.5,87.8
104,0,5.63E-05,2.6,87.8
104,0,5.79E-05,2.6,87.8
102,0,5.70E-05,2.5,87.8
99,0,5.67E-05,2.3,87.8
104,0,5.63E-05,2.7,87.8
104,0,5.73E-05,2.6,87.8
109,55,5.76E-05,3.2,88.7
118,82,5.79E-05,6,88.7
110,0,5.70E-05,3.3,88.7
102,0,5.86E-05,2.6,88.7
117,51,5.76E-05,5.2,88.7
115,51,5.73E-05,4.7,88.7
108,19,5.73E-05,3.1,88.7
105,0,5.83E-05,2.6,88.7
93,0,5.73E-05,2.1,88.7
98,0,5.73E-05,2.2,88.7
104,0,5.70E-05,2.8,88.7
107,0,5.83E-05,2.9,88.7
112,0,5.79E-05,3.4,88.7
111,0,5.79E-05,3.3,88.7
112,0,5.76E-05,3.5,88.7
110,0,5.76E-05,3.2,88.7
111,0,5.73E-05,3.2,89.6
111,0,5.86E-05,3.3,89.6
109,0,5.76E-05,3.1,89.6
105,0,5.76E-05,2.9,89.6
111,0,5.86E-05,3.6,89.6
110,0,5.79E-05,3.3,89.6
112,0,5.83E-05,3.4,90.5
111,0,5.79E-05,3.3,90.5
103,0,5.89E-05,2.7,90.5
100,0,5.86E-05,2.3,90.5
101,0,5.92E-05,2.4,90.5
105,0,5.96E-05,2.8,90.5
99,25,6.02E-05,2.4,90.5
115,67,5.86E-05,4.5,90.5
110,52,5.83E-05,4.1,90.5
108,0,5.83E-05,3.1,89.6
104,0,5.92E-05,2.7,89.6
101,0,5.76E-05,2.3,89.6
102,0,5.79E-05,2.5,89.6
101,0,5.73E-05,2.4,89.6
106,13,5.76E-05,2.8,89.6
99,13,5.79E-05,2.4,90.5
97,14,5.99E-05,2.1,90.5
96,0,5.83E-05,2.1,90.5
104,0,6.12E-05,2.7,90.5
101,0,5.86E-05,2.4,90.5
100,0,5.83E-05,2.3,90.5
98,0,7.07E-05,2.2,90.5
99,0,5.86E-05,2.3,90.5
100,0,5.86E-05,2.3,90.5
100,0,5.96E-05,2.3,90.5
102,0,5.96E-05,2.5,90.5
95,0,6.16E-05,2.1,90.5
103,0,5.89E-05,2.6,90.5
99,0,6.02E-05,2.3,90.5
100,0,5.96E-05,2.3,90.5
98,0,6.16E-05,2.3,91.4
98,0,6.02E-05,2.1,91.4
97,0,6.06E-05,2.1,91.4
98,0,6.33E-05,2.2,91.4
98,0,6.12E-05,2.2,91.4
98,0,6.19E-05,2.2,91.4
96,0,6.09E-05,2.1,91.4
96,0,6.58E-05,2,91.4
96,0,5.86E-05,2.1,90.5
98,0,5.83E-05,2.2,90.5
95,0,6.65E-05,1.9,90.5
103,0,6.88E-05,2.7,90.5
95,0,7.68E-05,2,90.5
87,0,6.09E-05,1.6,90.5
84,0,5.79E-05,1.7,90.5
100,0,8.03E-05,2.4,91.4
99,0,9.80E-05,2.4,91.4
98,0,9.80E-05,2.2,91.4
103,7,9.80E-05,2.7,90.5
101,0,0.000106494,2.4,90.5
105,0,8.87E-05,2.7,90.5
100,0,8.39E-05,2.4,90.5
101,12,8.44E-05,2.7,90.5
97,0,8.87E-05,2.1,90.5
95,0,6.06E-05,2,90.5
96,0,5.89E-05,2.1,90.5
98,0,5.76E-05,2.2,90.5
96,0,5.79E-05,2,90.5
97,0,6.23E-05,2.2,90.5
98,0,6.40E-05,2.3,90.5
94,0,6.26E-05,2,90.5
93,0,6.65E-05,2,90.5
96,0,6.06E-05,2.1,90.5
100,0,5.96E-05,2.5,90.5
92,0,6.36E-05,1.9,90.5
95,0,6.16E-05,2.1,90.5
98,0,6.06E-05,2.3,90.5
97,0,5.86E-05,2.2,90.5
95,15,5.76E-05,2.1,90.5
100,12,5.86E-05,2.7,90.5
98,0,6.02E-05,2.3,90.5
98,0,5.86E-05,2.3,89.6
94,17,5.83E-05,2.1,89.6
95,0,5.96E-05,2.1,89.6
94,0,6.09E-05,2,89.6
94,0,5.83E-05,1.9,89.6
98,0,6.26E-05,2.5,89.6
93,0,6.02E-05,1.9,89.6
92,0,6.80E-05,1.9,89.6
94,0,6.26E-05,2,89.6
95,0,6.47E-05,2,89.6
94,0,6.58E-05,2,89.6
105,0,6.36E-05,2.6,89.6
106,40,6.65E-05,2.9,89.6
104,0,6.80E-05,2.8,89.6
102,13,6.62E-05,2.3,89.6
97,11,5.83E-05,2.6,88.7
103,56,6.44E-05,2.8,88.7
101,44,5.86E-05,2.8,88.7
99,50,5.86E-05,2.5,87.8
102,67,5.60E-05,2.9,87.8
111,64,5.60E-05,4.2,87.8
102,50,5.73E-05,2.7,87.8
109,0,5.70E-05,3,87.8
107,0,5.63E-05,2.9,87.8
109,0,5.86E-05,3.1,87.8
106,0,5.73E-05,2.9,87.8
102,0,6.58E-05,2.6,88.7
102,0,6.40E-05,2.5,88.7
97,0,7.31E-05,2.2,89.6
105,0,8.82E-05,2.8,89.6
104,0,6.95E-05,2.6,89.6
103,0,7.23E-05,2.6,89.6
104,0,7.90E-05,2.6,89.6
99,0,6.58E-05,2.2,90.5
101,0,9.02E-05,2.5,90.5
100,0,8.35E-05,2.3,90.5
100,0,8.35E-05,2.4,91.4
101,0,8.87E-05,2.4,91.4
103,0,0.000102447,2.6,91.4
101,0,0.00011962,2.4,91.4
101,0,0.00011962,2.4,91.4
102,0,0.00010474,2.5,91.4
99,0,0.000103587,2.3,91.4
103,0,0.00011009,2.6,91.4
100,0,0.000102447,2.4,91.4
95,0,9.12E-05,2.1,91.4
103,0,5.96E-05,2.5,91.4
105,0,0.000164902,2.8,92.3
96,0,0.000150094,2.1,92.3
95,0,0.000221121,2.1,92.3
97,0,0.000334901,2.2,92.3
101,0,0.000436817,2.5,92.3
103,0,0.000429623,2.6,92.3
101,0,0.000303143,2.4,92.3
103,0,0.000152607,2.6,92.3
101,0,0.000153454,2.5,92.3
98,0,0.000129258,2.3,92.3
101,12,0.000151764,2.5,92.3
102,37,0.000143592,2.7,92.3
104,89,0.000272882,3.1,92.3
101,30,0.000158635,2.8,92.3
103,56,8.30E-05,2.8,92.3
99,0,0.00015776,2.2,92.3
100,0,0.000194689,2.4,91.4
107,54,0.000122298,3,91.4
101,0,6.95E-05,2.3,90.5
94,0,7.39E-05,1.9,90.5
93,0,0.00011962,2,90.5
94,0,0.000159516,2.1,89.6
94,0,6.09E-05,2,89.6
104,51,0.000261062,2.8,89.6
100,0,0.000293241,2.5,89.6
95,0,0.000336759,2,89.6
96,0,0.000126428,2.1,88.7
97,0,0.000258188,2.2,88.7
96,0,9.07E-05,2.1,88.7
95,0,6.12E-05,2,88.7
95,0,0.000240263,2.1,88.7
94,0,0.000209214,2,89.6
94,0,0.000315119,2,89.6
93,0,0.000120952,1.9,89.6
96,0,0.000110701,2.2,89.6
98,0,8.58E-05,2.3,89.6
100,0,0.000105322,2.4,89.6
97,0,7.77E-05,2.1,89.6
95,0,0.000101319,2.1,89.6
97,0,0.000163087,2.1,89.6
96,0,0.000150927,2.1,89.6
